Fighter,Current ELO
Jimy Hettes,1026
Bart Palaszewski,1026
Diego Ferreira,1026
Carlos Eduardo Rocha,1026
Marcelo Golm,1026
Jordan Wright,1026
Melissa Gatto,1026
Mark Madsen,1026
Fabio Maldonado,1026
Chris Lytle,1026
Paulo Costa,1026
Stevie Ray,1026
Manny Bermudez,1026
Uros Medic,1026
Marc Diakiese,1026
Amanda Nunes,1026
Tai Tuivasa,1026
Gunnar Nelson,1026
Miguel Baeza,1026
Roman Dolidze,1026
Augusto Montano,1026
Viscardi Andrade,1026
Adam Milstead,1026
Galore Bofando,1026
Dustin Ortiz,1026
Khamzat Chimaev,1026
Igor Pokrajac,1026
Marvin Vettori,1026
Kyoji Horiguchi,1025
Beneil Dariush,1025
Takashi Sato,1025
Geoff Neal,1025
Mariya Agapova,1025
Julian Marquez,1025
Chase Hooper,1025
Brandon Royval,1025
Livinha Souza,1025
Alex White,1025
Felipe Silva,1025
Augusto Sakai,1025
Renato Moicano,1025
Jesse Taylor,1025
Andre Fili,1024
Dusko Todorovic,1024
Abdul-Kerim Edilov,1024
Makwan Amirkhani,1024
Joe Duffy,1024
Zhang Weili,1022
Ismail Naurdiev,1022
Peter Yan,1022
Minotauro Nogueira,1020
Alex Morono,1020
Mounir Lazzez,1020
Ramazan Emeev,1020
Kamuela Kirk,1019
Volkan Oezdemir,1019
Andrei Arlovski,1019
Casey Kenney,1019
Kalinn Williams,1019
Ian Heinisch,1019
Andre Ewell,1019
Tarec Saffiedine,1019
Vincente Luque,1019
Bobby Moffett,1019
Maiquel Falcao,1019
Germaine De Randamie,1019
Isaac Vallie-Flagg,1018
Jorge Masvidal,1018
Sean Pierson,1018
Ulka Sasaki,1018
Will Brooks,1018
Tom Niinimaki,1018
Dan Henderson,1018
Brian Ebersole,1018
Alekander Volkov,1018
Desmond Green,1018
Wilson Reis,1018
Andrew Craig,1018
Kevin Croom,1018
Igor Araujo,1018
Abu Azaitar,1018
Brianna Van Buren,1018
Josh Emmett,1018
Michinori Tanaka,1018
Joseph Benavidez,1017
Paul Felder,1017
Cole Smith,1017
Holly Holm,1017
Da-Un Jung,1017
Louis Smolka,1017
Hunter Azure,1017
Dominick Cruz,1017
Ryan Bader,1017
Phillipe Nover,1017
Stipe Miocic,1017
Aleksandar Rakic,1017
